yr2016,yr2017,yr2018,yr2019,yr2020,hour
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,2
0,0,0,0,0,3
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,6
6.406195652,7.298478261,7.130869565,7.18173913,6.074347826,7
70.06391304,73.92641304,75.83054348,75.69271739,67.55478261,8
199.1873913,201.7790217,200.1293478,206.5763043,188.2188043,9
320.2046739,339.808587,331.7580435,338.5702174,309.8293478,10
431.2240217,448.0488043,432.4406522,444.6759783,407.0466304,11
493.8444565,520.4898913,501.343913,510.0998913,469.095,12
495.235,539.0426087,520.1545652,523.0667391,476.7556522,13
467.6626087,503.1432609,496.1177174,488.9436957,450.0202174,14
388.2697826,413.2077174,425.7433696,417.0342391,370.0519565,15
285.358587,298.6304348,316.783913,304.5291304,266.5645652,16
156.6741304,168.0170652,181.8129348,170.2327174,146.2503261,17
51.81434783,59.49695652,60.93413043,56.86923913,48.9426087,18
5.618369565,6.717934783,6.683478261,6.304021739,5.091630435,19
0,0,0,0,0,20
0,0,0,0,0,21
0,0,0,0,0,22
0,0,0,0,0,23
