yr2016,yr2017,yr2018,yr2019,yr2020,hour
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,2
0,0,0,0,0,3
0,0,0,0,0,4
0.031538462,0.032555556,0.030555556,0.029222222,0.032527473,5
22.40362637,22.05844444,22.13222222,23.82088889,24.37384615,6
119.3195604,120.7055556,121.9022222,129.7096667,124.1362637,7
262.966044,276.572,273.9957778,290.8961111,275.9485714,8
425.4932967,440.2261111,452.7676667,460.5494444,426.4936264,9
570.9096703,589.6185556,619.0126667,622.2793333,566.3786813,10
683.9332967,707.2893333,757.0517778,756.7714444,686.6,11
766.7812088,789.2868889,807.3261111,843.4427778,774.7562637,12
799.8535165,826.9856667,816.4262222,874.2454444,796.0194505,13
784.6741758,789.249,792.2406667,843.7912222,748.4861538,14
709.4127473,715.0003333,718.3128889,776.0686667,671.5052747,15
580.2534066,586.0506667,587.4421111,643.1337778,557.0915385,16
433.9930769,436.6362222,434.1897778,468.6157778,399.9579121,17
269.7925275,269.0528889,270.3658889,289.461,246.6015385,18
113.6481319,111.3302222,111.7868889,120.7774444,100.1926374,19
10.88384615,10.63611111,10.56588889,11.87044444,9.652307692,20
0,0,0,0,0,21
0,0,0,0,0,22
0,0,0,0,0,23
