yr2016,yr2017,yr2018,yr2019,yr2020,hour
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,2
0,0,0,0,0,3
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,6
0.05076087,0.059021739,0.049347826,0.052934783,0.062717391,7
15.05282609,16.38,15.49217391,15.09880435,15.65695652,8
96.51086957,102.5186957,100.0327174,95.75576087,98.70858696,9
203.4334783,218.4721739,213.2620652,200.8398913,202.3015217,10
292.8754348,317.653913,315.6143478,298.4329348,288.7734783,11
341.9728261,374.3959783,374.9798913,364.5253261,353.426087,12
349.583587,390.4484783,382.5430435,372.851413,364.6802174,13
315.2888043,356.2331522,348.7718478,335.7413043,339.6186957,14
243.1026087,279.6958696,275.6717391,267.1332609,275.5554348,15
159.9040217,182.3933696,179.321087,172.6401087,177.1482609,16
64.67423913,73.99163043,71.32771739,66.50043478,71.20282609,17
7.078043478,7.151086957,6.88,6.674021739,6.987934783,18
0,0,0,0,0,19
0,0,0,0,0,20
0,0,0,0,0,21
0,0,0,0,0,22
0,0,0,0,0,23
